filename,energy,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Amy Winehouse - Back To Black.wav,0.24528643488883972,123.046875,-57.90239715576172,122.64370727539062,-12.768884658813477,27.311479568481445,-4.88891077041626,13.412967681884766,-6.1973652839660645,10.901408195495605,-3.190324068069458,5.45939826965332,-7.876969337463379,-0.9974491596221924,-2.144886016845703
Avicii- Levels (Audio).wav,0.24231930077075958,129.19921875,-27.353443145751953,72.96143341064453,0.27761444449424744,15.905292510986328,-4.76323938369751,1.1382811069488525,-2.9987571239471436,2.471470355987549,-2.305081844329834,3.596013307571411,-1.309112787246704,4.959372043609619,-1.3913311958312988
Before You Go - Lewis Capaldi.wav,0.2587549388408661,112.3471450805664,-86.32817077636719,96.08723449707031,20.48560333251953,27.214420318603516,8.325226783752441,10.991707801818848,4.580990314483643,8.339899063110352,-7.5596818923950195,5.334521293640137,0.5732852220535278,2.9332780838012695,-4.409987926483154
Ain't No Sunshine.wav,0.09488308429718018,143.5546875,-243.46263122558594,134.21563720703125,14.735235214233398,22.683061599731445,-3.4579174518585205,19.33670997619629,-0.7661991119384766,-18.820770263671875,-19.10982894897461,-11.1036376953125,-6.986299991607666,-3.048635721206665,-14.577384948730469
Dancing Queen - Abba.wav,0.16294923424720764,99.38401794433594,-40.916683197021484,81.85696411132812,-18.885568618774414,15.567151069641113,-1.7784321308135986,0.31477078795433044,-0.08064516633749008,1.5061522722244263,0.10825441032648087,-0.055911242961883545,-4.245349407196045,1.233333945274353,-4.674238204956055
Nirvana - Smells Like Teen Spirit slowed.wav,0.196136936545372,117.4538345336914,-25.417572021484375,59.758174896240234,-10.045838356018066,34.11543273925781,8.834939002990723,13.568585395812988,-4.6154327392578125,6.81082010269165,-2.88189697265625,7.548546314239502,-4.105645656585693,3.1907565593719482,-8.221222877502441
juan-jordan_runaway-remix-extended-version-kanye-west-ft-juan-jordan-pusha-t.wav,0.3461979329586029,172.265625,-41.2473030090332,96.43058013916016,7.4192304611206055,24.68071746826172,8.571574211120605,20.160846710205078,3.941035747528076,9.564401626586914,-0.4461023509502411,6.531413555145264,1.570555329322815,9.371723175048828,1.1730546951293945
Bill Withers - Ain't No Sunshine (Official Audio).wav,0.09838173538446426,161.4990234375,-184.39303588867188,107.47757720947266,2.0924072265625,35.318912506103516,3.8573687076568604,6.013163089752197,0.5061245560646057,4.337103843688965,-13.982532501220703,7.410705089569092,-6.007129192352295,-0.3116711378097534,2.634150743484497
Clint Mansell - Lux Aeterna (Requiem for a Dream) (1).wav,0.04876203462481499,129.19921875,-223.10581970214844,138.9124755859375,-23.184328079223633,34.04914093017578,-5.07935905456543,4.282872676849365,-6.364783763885498,5.301225662231445,-6.035887241363525,1.8385816812515259,-8.527389526367188,-3.6241302490234375,-5.346896648406982
"The Next Episode - Dr. Dre, Snoop Dogg.wav",0.2636646032333374,95.703125,-71.05995178222656,76.5221176147461,14.740310668945312,29.88368797302246,11.3286771774292,8.570446968078613,-2.310931921005249,10.783732414245605,-2.424940824508667,3.6935923099517822,-1.713489294052124,2.0639381408691406,-1.1508347988128662
Hans Zimmer - Time (Inception Main Theme).wav,0.06315948069095612,123.046875,-325.1708679199219,123.38768768310547,18.36300277709961,32.76276779174805,17.23426628112793,9.899896621704102,7.467414855957031,9.600804328918457,7.389175891876221,7.874088287353516,5.052596092224121,5.754493236541748,4.734246730804443
On & On.wav,0.2954334020614624,117.4538345336914,-46.64514923095703,101.58605194091797,4.712238788604736,3.2102198600769043,9.717687606811523,4.9027581214904785,3.8798134326934814,-0.47288423776626587,-4.510854244232178,4.874220371246338,-0.03958379477262497,-0.8463232517242432,-0.2986145317554474
Daft Punk - Around the World.wav,0.1856369823217392,123.046875,-130.5060272216797,70.40660095214844,8.3357515335083,27.679222106933594,20.203920364379883,22.768882751464844,9.100016593933105,8.795857429504395,-6.603796005249023,0.03151145577430725,3.572157144546509,4.498148441314697,-3.9325006008148193
